SiO2 Na2O CaO Al2O3 B2O3 MgO PbO P2O5 Li2O K2O TiO2 BaO ZnO
59.4 11.0 0.0 0.0 0.0 29.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 11.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.8 11.0 0.0 0.0 0.0 17.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 11.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 27.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 23.2 0.0 0.0 0.0 19.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 22.2 0.0 0.0 0.0 20.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 21.5 0.0 0.0 0.0 21.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 17.9 0.0 0.0 0.0 25.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 17.2 0.0 0.0 0.0 25.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 10.6 0.0 0.0 0.0 32.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 25.8 0.0 0.0 0.0 9.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 21.9 0.0 0.0 0.0 13.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 16.6 0.0 0.0 0.0 18.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 13.2 0.0 0.0 0.0 21.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 11.7 0.0 0.0 0.0 23.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 11.3 0.0 0.0 0.0 23.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 18.8 0.0 0.0 0.0 11.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 15.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 10.5 0.0 0.0 0.0 19.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 10.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 7.1 0.0 0.0 0.0 22.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64.91 18.94 0.0 0.3 0.0 15.85 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.0 18.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64.0 16.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.4 14.3 0.0 0.0 0.0 14.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 12.5 0.0 0.0 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27.7 0.0 0.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.5 0.0 0.0 0.0 0.0
66.6 0.0 16.15 0.3 0.0 0.0 0.0 0.0 16.95 0.0 0.0 0.0 0.0
65.6 0.0 0.0 0.3 0.0 16.25 0.0 0.0 17.85 0.0 0.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0
80.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0
80.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0
80.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0
80.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0
65.77 0.0 0.0 0.0 0.0 0.0 0.0 34.23 0.0 0.0 0.0 0.0 0.0
67.55 0.0 0.0 0.0 0.0 0.0 0.0 32.45 0.0 0.0 0.0 0.0 0.0
73.42 0.0 0.0 0.0 0.0 0.0 0.0 26.58 0.0 0.0 0.0 0.0 0.0
83.72 0.0 0.0 0.0 0.0 0.0 0.0 16.28 0.0 0.0 0.0 0.0 0.0
91.1 0.0 0.0 0.0 0.0 0.0 0.0 8.9 0.0 0.0 0.0 0.0 0.0
98.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
97.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
98.89 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26.4 0.0 0.0 0.0
77.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0
80.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 19.6 0.0 0.0 0.0
82.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.7 0.0 0.0 0.0
84.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.8 0.0 0.0 0.0
87.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.1 0.0 0.0 0.0
57.9 42.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61.7 38.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63.6 36.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.4 34.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.2 30.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.7 23.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
80.5 19.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
84.3 15.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
88.2 11.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
55.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 15.9 0.0 0.0 0.0 19.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15.0 0.0 0.0 0.0 0.0 42.5 0.0 42.5 0.0 0.0 0.0 0.0 0.0
10.0 0.0 0.0 0.0 0.0 50.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0
10.0 0.0 0.0 0.0 0.0 47.5 0.0 42.5 0.0 0.0 0.0 0.0 0.0
10.0 0.0 0.0 0.0 0.0 45.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0
7.5 0.0 0.0 0.0 0.0 46.25 0.0 46.25 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 52.5 0.0 42.5 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 50.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 47.5 0.0 47.5 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 0.0 0.0 45.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0
2.5 0.0 0.0 0.0 0.0 48.75 0.0 48.75 0.0 0.0 0.0 0.0 0.0
15.0 0.0 42.5 0.0 0.0 0.0 0.0 42.5 0.0 0.0 0.0 0.0 0.0
10.0 0.0 47.5 0.0 0.0 0.0 0.0 42.5 0.0 0.0 0.0 0.0 0.0
10.0 0.0 45.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0
10.0 0.0 42.5 0.0 0.0 0.0 0.0 47.5 0.0 0.0 0.0 0.0 0.0
7.5 0.0 46.25 0.0 0.0 0.0 0.0 46.25 0.0 0.0 0.0 0.0 0.0
5.0 0.0 50.0 0.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 47.5 0.0 0.0 0.0 0.0 47.5 0.0 0.0 0.0 0.0 0.0
5.0 0.0 45.0 0.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0
2.5 0.0 48.75 0.0 0.0 0.0 0.0 48.75 0.0 0.0 0.0 0.0 0.0
75.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.5 0.0
75.0 0.0 0.0 0.0 0.0 0.0 12.5 0.0 0.0 12.5 0.0 0.0 0.0
65.6 0.0 0.0 0.2 0.0 16.3 0.0 0.0 17.9 0.0 0.0 0.0 0.0
66.5 0.0 16.2 0.3 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0
68.7 0.0 0.0 0.7 0.0 0.0 0.0 0.0 15.0 0.0 0.0 15.6 0.0
65.4 0.0 0.0 0.0 0.0 0.0 17.2 0.0 17.4 0.0 0.0 0.0 0.0
64.8 19.0 0.0 0.3 0.0 15.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.1 16.7 16.8 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.2 17.0 0.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.7
66.6 0.0 16.9 0.2 0.0 0.0 0.0 0.0 0.0 16.3 0.0 0.0 0.0
65.5 0.0 0.0 0.2 0.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 17.3
68.1 0.0 0.0 0.7 0.0 0.0 0.0 0.0 0.0 16.1 0.0 15.1 0.0
66.1 0.0 0.0 0.0 0.0 0.0 17.3 0.0 0.0 16.6 0.0 0.0 0.0
53.27 0.0 0.0 0.0 0.0 0.0 42.45 0.0 4.28 0.0 0.0 0.0 0.0
51.36 0.0 0.0 0.0 0.0 0.0 40.37 0.0 8.26 0.0 0.0 0.0 0.0
46.38 0.0 0.0 0.0 0.0 0.0 34.96 0.0 18.65 0.0 0.0 0.0 0.0
39.93 0.0 0.0 0.0 0.0 0.0 27.95 0.0 32.12 0.0 0.0 0.0 0.0
54.48 2.11 0.0 0.0 0.0 0.0 43.41 0.0 0.0 0.0 0.0 0.0 0.0
53.66 4.15 0.0 0.0 0.0 0.0 42.18 0.0 0.0 0.0 0.0 0.0 0.0
51.34 9.95 0.0 0.0 0.0 0.0 38.71 0.0 0.0 0.0 0.0 0.0 0.0
47.9 18.57 0.0 0.0 0.0 0.0 33.53 0.0 0.0 0.0 0.0 0.0 0.0
54.87 0.0 0.0 0.0 0.0 0.0 43.73 0.0 0.0 1.4 0.0 0.0 0.0
54.44 0.0 0.0 0.0 0.0 0.0 42.79 0.0 0.0 2.77 0.0 0.0 0.0
53.16 0.0 0.0 0.0 0.0 0.0 40.07 0.0 0.0 6.77 0.0 0.0 0.0
51.15 0.0 0.0 0.0 0.0 0.0 35.8 0.0 0.0 13.04 0.0 0.0 0.0
25.0 0.0 50.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 65.0 0.0
30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 60.0 0.0
53.86 0.0 0.0 0.0 0.0 3.21 42.92 0.0 0.0 0.0 0.0 0.0 0.0
52.48 0.0 0.0 0.0 0.0 6.26 41.26 0.0 0.0 0.0 0.0 0.0 0.0
48.73 0.0 0.0 0.0 0.0 14.53 36.74 0.0 0.0 0.0 0.0 0.0 0.0
46.52 0.0 0.0 0.0 0.0 19.41 34.06 0.0 0.0 0.0 0.0 0.0 0.0
54.36 0.0 2.32 0.0 0.0 0.0 43.32 0.0 0.0 0.0 0.0 0.0 0.0
53.43 0.0 4.57 0.0 0.0 0.0 42.0 0.0 0.0 0.0 0.0 0.0 0.0
50.81 0.0 10.88 0.0 0.0 0.0 38.3 0.0 0.0 0.0 0.0 0.0 0.0
49.21 0.0 14.76 0.0 0.0 0.0 36.03 0.0 0.0 0.0 0.0 0.0 0.0
54.76 0.0 0.0 0.0 0.0 0.0 43.63 0.0 0.0 0.0 0.0 0.0 1.6
