SiO2 Al2O3 CaO Na2O MgO B2O3 Li2O GeO2 K2O P2O5 BaO
50.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 25.0
50.0 0.0 0.0 0.0 12.5 0.0 0.0 0.0 0.0 0.0 37.5
50.0 0.0 25.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0
50.0 0.0 37.5 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0
77.5 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0
46.51 0.0 0.0 0.0 0.0 23.26 0.0 0.0 30.23 0.0 0.0
48.78 0.0 0.0 0.0 0.0 24.39 0.0 0.0 26.83 0.0 0.0
51.28 0.0 0.0 0.0 0.0 25.64 0.0 0.0 23.08 0.0 0.0
52.63 0.0 0.0 0.0 0.0 26.32 0.0 0.0 21.05 0.0 0.0
54.05 0.0 0.0 0.0 0.0 27.03 0.0 0.0 18.92 0.0 0.0
56.34 0.0 0.0 0.0 0.0 28.17 0.0 0.0 15.49 0.0 0.0
58.82 0.0 0.0 0.0 0.0 29.41 0.0 0.0 11.76 0.0 0.0
33.33 0.0 0.0 0.0 0.0 33.33 0.0 0.0 33.33 0.0 0.0
35.71 0.0 0.0 0.0 0.0 35.71 0.0 0.0 28.57 0.0 0.0
38.46 0.0 0.0 0.0 0.0 38.46 0.0 0.0 23.08 0.0 0.0
60.0 22.6 0.0 17.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 16.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 5.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63.0 5.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 5.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 15.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 17.5 0.0 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 25.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 20.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 15.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 10.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
41.67 0.0 0.0 25.0 0.0 33.33 0.0 0.0 0.0 0.0 0.0
20.0 0.0 0.0 25.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0
5.0 0.0 0.0 20.0 0.0 75.0 0.0 0.0 0.0 0.0 0.0
15.0 0.0 0.0 20.0 0.0 65.0 0.0 0.0 0.0 0.0 0.0
25.0 0.0 0.0 20.0 0.0 55.0 0.0 0.0 0.0 0.0 0.0
35.0 0.0 0.0 20.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0
45.0 0.0 0.0 20.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 0.0 20.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0
46.51 0.0 0.0 30.23 0.0 23.26 0.0 0.0 0.0 0.0 0.0
47.62 0.0 0.0 28.57 0.0 23.81 0.0 0.0 0.0 0.0 0.0
